"","p","n","cor","pval"
"523",5,200,0,0.054
"524",5,200,0,0.587
"525",5,200,0,0.283
"526",5,200,0,0.535
"527",5,200,0,0.349
"528",5,200,0,0.03
"529",5,200,0,0.358
"530",5,200,0,0.0629999999999999
"531",5,200,0,0.845
"532",5,200,0,0.91
"533",5,200,0,0.463
"534",5,200,0,0.0639999999999999
"535",5,200,0,0.702
"536",5,200,0,0.429
"537",5,200,0,0.338
"538",5,200,0,0.134
"539",5,200,0,0.276
"540",5,200,0,0.015
"541",5,200,0,0.095
"542",5,200,0,0.399
"543",5,200,0,0.261
"544",5,200,0,0.723
"545",5,200,0,0.784
"546",5,200,0,0.614
"547",5,200,0,0.141
"548",5,200,0,0.084
"549",5,200,0,0.122
"550",5,200,0,0.859
"551",5,200,0,0.3
"552",5,200,0,0.469
"553",5,200,0,0.472
"554",5,200,0,0.129
"555",5,200,0,0.092
"556",5,200,0,0.261
"557",5,200,0,0.583
"558",5,200,0,0.596
"559",5,200,0,0.917
"560",5,200,0,0.083
"561",5,200,0,0.988
"562",5,200,0,0.997
"563",5,200,0,0.128
"564",5,200,0,0.54
"565",5,200,0,0.036
"566",5,200,0,0.59
"567",5,200,0,0.738
"568",5,200,0,0.885
"569",5,200,0,0.856
"570",5,200,0,0.885
"571",5,200,0,0.6
"572",5,200,0,0.366
"573",5,200,0,0.811
"574",5,200,0,0.933
"575",5,200,0,0.682
"576",5,200,0,0.47
"577",5,200,0,0.667
"578",5,200,0,0.263
"579",5,200,0,0.759
"580",5,200,0,0.645
"581",5,200,0,0.895
"582",5,200,0,0.244
"583",5,200,0,0.315
"584",5,200,0,0.911
"585",5,200,0,0.968
"586",5,200,0,0.089
"587",5,200,0,0.027
"588",5,200,0,0.69
"589",5,200,0,0.558
"590",5,200,0,0.363
"591",5,200,0,0.667
"592",5,200,0,0.676
"593",5,200,0,0.4
"594",5,200,0,0.217
"595",5,200,0,0.739
"596",5,200,0,0.571
"597",5,200,0,0.281
"598",5,200,0,0.966
"599",5,200,0,0.374
"600",5,200,0,0.315
"601",5,200,0,0.758
"602",5,200,0,0.862
"603",5,200,0,0.363
"604",5,200,0,0.973
"605",5,200,0,0.61
"606",5,200,0,0.401
"607",5,200,0,0.792
"608",5,200,0,0.016
"609",5,200,0,0.34
"610",5,200,0,0.61
"611",5,200,0,0.0580000000000001
"612",5,200,0,0.005
"613",5,200,0,0.57
"614",5,200,0,0.185
"615",5,200,0,0.927
"616",5,200,0,0.814
"617",5,200,0,0.75
"618",5,200,0,0.234
"619",5,200,0,0.031
"620",5,200,0,0.406
"621",5,200,0,0.717
"622",5,200,0,0.779
"623",5,200,0,0.273
"624",5,200,0,0.118
"625",5,200,0,0.957
"626",5,200,0,0.188
"627",5,200,0,0.134
"628",5,200,0,0.286
"629",5,200,0,0.889
"630",5,200,0,0.661
"631",5,200,0,0.687
"632",5,200,0,0.633
"633",5,200,0,0.525
"634",5,200,0,0.746
"635",5,200,0,0.9
"636",5,200,0,0.611
"637",5,200,0,0.132
"638",5,200,0,0.605
"639",5,200,0,0.79
"640",5,200,0,0.517
"641",5,200,0,0.189
"642",5,200,0,0.998
"643",5,200,0,0.329
"644",5,200,0,0.532
"645",5,200,0,0.956
"646",5,200,0,0.079
"647",5,200,0,0.882
"648",5,200,0,0.178
"649",5,200,0,0.248
"650",5,200,0,0.944
"651",5,200,0,0.323
"652",5,200,0,0.394
"653",5,200,0,0.796
"654",5,200,0,0.928
"655",5,200,0,0.681
"656",5,200,0,0.807
"657",5,200,0,0.851
"658",5,200,0,0.297
"659",5,200,0,0.792
"660",5,200,0,0.912
"661",5,200,0,0.456
"662",5,200,0,0.482
"663",5,200,0,0.004
"664",5,200,0,0.174
"665",5,200,0,0.153
"666",5,200,0,0.904
"667",5,200,0,0.109
"668",5,200,0,0.22
"669",5,200,0,0.355
"670",5,200,0,0.573
"671",5,200,0,0.59
"672",5,200,0,0.475
"673",5,200,0,0.729
"674",5,200,0,0.333
"675",5,200,0,0.825
"676",5,200,0,0.106
"677",5,200,0,0.312
"678",5,200,0,0.287
"679",5,200,0,0.424
"680",5,200,0,0.597
"681",5,200,0,0.598
"682",5,200,0,0.433
"683",5,200,0,0.485
"684",5,200,0,0.346
"685",5,200,0,0.174
"686",5,200,0,0.464
"687",5,200,0,0.748
"688",5,200,0,0.901
"689",5,200,0,0.0659999999999999
"690",5,200,0,0.422
