X1,p,n,cor,pval,testStat
497,5,200,0.1,2e-4,86.9085936028558
498,5,200,0.1,0.372,19.247799421876
499,5,200,0.1,0.1888,22.3281723188487
500,5,200,0.1,2e-4,52.0497051365683
501,5,200,0.1,0.7308,15.0080472111689
502,5,200,0.1,2e-4,68.451473636636
503,5,200,0.1,0.868,13.4157777681852
504,5,200,0.1,0.2088,21.9379803222309
505,5,200,0.1,0.5866,16.8360271046363
506,5,200,0.1,2e-4,74.2662341396885
507,5,200,0.1,0.0986,24.4491930932423
508,5,200,0.1,0.0022,37.274037544614004
509,5,200,0.1,0.0402,27.3707554187557
510,5,200,0.1,2e-4,75.4955763909102
511,5,200,0.1,2e-4,80.0979393731169
512,5,200,0.1,0.5842,16.8772163547167
513,5,200,0.1,0.2024,21.903119173041
514,5,200,0.1,2e-4,71.0289194487003
515,5,200,0.1,2e-4,78.5144372419393
516,5,200,0.1,0.22,21.3748003741366
517,5,200,0.1,2e-4,84.654581656375
518,5,200,0.1,2e-4,67.968578275102
519,5,200,0.1,2e-4,78.8642874811001
520,5,200,0.1,0.343,19.7805328874063
521,5,200,0.1,0.398,19.0973724080464
522,5,200,0.1,0.7588,14.8519666053414
523,5,200,0.1,0.1088,24.1231919255873
524,5,200,0.1,0.24,21.1959130635057
525,5,200,0.1,0.7644,14.7904595646837
526,5,200,0.1,2e-4,77.543764708278
527,5,200,0.1,0.0044,35.5250021870582
528,5,200,0.1,2e-4,80.0446821186385
529,5,200,0.1,4e-4,41.8263350900629
530,5,200,0.1,0.193,21.9005582176831
531,5,200,0.1,2e-4,86.0684993495822
532,5,200,0.1,2e-4,77.1198377746598
533,5,200,0.1,2e-4,80.4016750851183
534,5,200,0.1,2e-4,82.9341110904196
535,5,200,0.1,2e-4,73.4890193754537
536,5,200,0.1,0.0056,33.9093796990081
537,5,200,0.1,0.029,28.3882250962867
538,5,200,0.1,0.2282,21.5551349559581
539,5,200,0.1,2e-4,74.946365517549
540,5,200,0.1,0.0066,33.4103088281051
541,5,200,0.1,2e-4,83.2459871942505
542,5,200,0.1,2e-4,79.720911178244
543,5,200,0.1,2e-4,58.271872971914
544,5,200,0.1,2e-4,80.8056254829303
545,5,200,0.1,2e-4,73.8187731950474
546,5,200,0.1,2e-4,77.9712285798791
547,5,200,0.1,2e-4,62.7658833076111
548,5,200,0.1,0.5502,17.1766322089427
549,5,200,0.1,2e-4,77.704017869698
550,5,200,0.1,2e-4,76.3632475426736
551,5,200,0.1,0.0578,26.1147131651567
552,5,200,0.1,0.0918,24.7387712661645
553,5,200,0.1,2e-4,74.038396685481
554,5,200,0.1,2e-4,71.0994940191773
555,5,200,0.1,2e-4,87.4653680873551
556,5,200,0.1,0.5478,17.238852557963
557,5,200,0.1,0.2698,20.7908340384296
558,5,200,0.1,0.2772,20.5795279547065
559,5,200,0.1,0.234,21.362248279127
560,5,200,0.1,2e-4,78.7738455461607
561,5,200,0.1,2e-4,81.7879405879115
562,5,200,0.1,0.1666,22.3934693623859
563,5,200,0.1,0.1656,22.5910812486406
564,5,200,0.1,0.4318,18.5527503903139
565,5,200,0.1,2e-4,75.6740667585876
566,5,200,0.1,0.3148,19.9924505291272
567,5,200,0.1,2e-4,82.5863611565847
568,5,200,0.1,0.5462,17.1864274473219
569,5,200,0.1,0.875,13.3951350378314
570,5,200,0.1,0.0614,26.1242875953462
571,5,200,0.1,2e-4,76.959827110429
572,5,200,0.1,2e-4,83.8661972815544
573,5,200,0.1,0.398,19.0230012913975
574,5,200,0.1,0.411,18.8250199795332
575,5,200,0.1,2e-4,89.923475941498
576,5,200,0.1,2e-4,73.59554107874
577,5,200,0.1,0.2196,21.4537152445806
578,5,200,0.1,2e-4,89.1147432537185
579,5,200,0.1,2e-4,73.4225303951712
580,5,200,0.1,2e-4,72.946945596058
581,5,200,0.1,2e-4,87.254310376672
582,5,200,0.1,0.9646,11.2078978677004
583,5,200,0.1,0.054,26.704615252905
584,5,200,0.1,0.1408,23.5036605737463
585,5,200,0.1,0.0876,25.2696959829288
586,5,200,0.1,2e-4,87.3078362178364
587,5,200,0.1,2e-4,66.032136094429
588,5,200,0.1,2e-4,83.0904620210235
589,5,200,0.1,2e-4,77.4084351234574
590,5,200,0.1,2e-4,85.1444400032375
591,5,200,0.1,2e-4,79.6528262852993
592,5,200,0.1,2e-4,77.3257777715562
593,5,200,0.1,2e-4,85.731020760065
594,5,200,0.1,0.8046,14.2879424584153
595,5,200,0.1,2e-4,84.0057075518206
596,5,200,0.1,6e-4,43.1108578682529
597,5,200,0.1,2e-4,68.5505052271049
598,5,200,0.1,2e-4,81.8072194506727
599,5,200,0.1,0.6162,16.5266159125589
600,5,200,0.1,0.5912,16.8571100051177
601,5,200,0.1,0.01,32.175618040171
602,5,200,0.1,0.4412,18.3572793982086
603,5,200,0.1,2e-4,91.046772162692
604,5,200,0.1,2e-4,72.8345214714995
605,5,200,0.1,2e-4,79.401313059675
606,5,200,0.1,0.2646,20.828805567389
607,5,200,0.1,2e-4,56.5818379171195
608,5,200,0.1,2e-4,81.1495180869909
609,5,200,0.1,2e-4,71.9243199881046
610,5,200,0.1,2e-4,85.0346016457548
