"","p","n","cor","pval","stat"
"388",5,200,0.1,4.46698108856723e-14,92.7845513000599
"389",5,200,0.1,0.00355651062135498,35.4890746975243
"390",5,200,0.1,2.55939887540806e-15,98.7657888632742
"391",5,200,0.1,1.44069930125039e-12,85.445965533651
"392",5,200,0.1,6.20415490148327e-09,67.3131899277142
"393",5,200,0.1,0.0846292231146285,25.8545265922048
"394",5,200,0.1,0.377646066608049,19.8343199095621
"395",5,200,0.1,4.49921529095343e-13,87.9145634634513
"396",5,200,0.1,0.641448186440405,16.7682900718646
"397",5,200,0.1,0.0092824945712312,32.7817150553494
"398",5,200,0.1,0.688234422098441,16.2459137683655
"399",5,200,0.1,6.8944950283815e-16,101.493600729587
"400",5,200,0.1,1.72729392600273e-12,85.0601722438122
"401",5,200,0.1,1.87503663218617e-09,69.9566578900246
"402",5,200,0.1,0.284660171220045,21.1552985525752
"403",5,200,0.1,0.0111709377863685,32.2436326061042
"404",5,200,0.1,0.00557989772047118,34.2335122965403
"405",5,200,0.1,2.05231806913231e-11,79.7690979269626
"406",5,200,0.1,0.944472175852807,12.5214714355095
"407",5,200,0.1,0.482048224378047,18.5544574017193
"408",5,200,0.1,0.863981645436378,14.0317206517575
"409",5,200,0.1,3.96531985190089e-12,83.2895685860029
"410",5,200,0.1,7.99906754926372e-11,76.8364318698758
"411",5,200,0.1,0.353499909013262,20.1559597440466
"412",5,200,0.1,6.92557298938324e-11,77.147989083657
"413",5,200,0.1,0.387630938940551,19.7047531205698
"414",5,200,0.1,1.13934252043498e-09,71.0513348309481
"415",5,200,0.1,0.085755170450609,25.8084754458061
"416",5,200,0.1,2.5244017728598e-13,89.1365534417794
"417",5,200,0.1,0.0811499864315322,26.0002716697758
"418",5,200,0.1,2.01344066098663e-10,74.8353252800245
"419",5,200,0.1,1.4748300958934e-12,85.3961917877809
"420",5,200,0.1,0.203236485564971,22.5831402996503
"421",5,200,0.1,0.471394719807775,18.6788435542868
"422",5,200,0.1,3.29545885580163e-09,68.7134322504688
"423",5,200,0.1,2.25336088347677e-12,84.4943392024089
"424",5,200,0.1,0.0174236838776891,30.9274398890993
"425",5,200,0.1,1.31197995044754e-14,95.3532968932543
"426",5,200,0.1,0.00308867054321449,35.8772385471115
"427",5,200,0.1,0.11425028144659,24.7876056107112
"428",5,200,0.1,0.0544719047270784,27.3477874737817
"429",5,200,0.1,0.567595113542064,17.5855132956096
"430",5,200,0.1,2.35306616045157e-09,69.456541096273
"431",5,200,0.1,6.68121278752639e-12,82.1749889320514
"432",5,200,0.1,0.464474598110773,18.7602391782119
"433",5,200,0.1,5.84322311750178e-11,77.5151204120106
"434",5,200,0.1,0.0685879086817816,26.5764884991753
"435",5,200,0.1,0.142486674291554,23.9702328174962
"436",5,200,0.1,0.16314205662416,23.4531974497279
"437",5,200,0.1,3.30336358778424e-12,83.6792124102527
"438",5,200,0.1,6.07793035672216e-10,72.4274860621705
"439",5,200,0.1,7.25907538837277e-10,72.039071345532
"440",5,200,0.1,7.08776391312865e-10,72.0913294319178
"441",5,200,0.1,4.83251533911866e-11,77.925056171485
"442",5,200,0.1,5.11404805213201e-10,72.8047747668839
"443",5,200,0.1,0.846663188198944,14.2868611975687
"444",5,200,0.1,1.66027217781511e-11,80.2244576951659
"445",5,200,0.1,2.03676408178343e-11,79.7854468118896
"446",5,200,0.1,3.95738356122069e-11,78.3558956820364
"447",5,200,0.1,0.0417512706800056,28.2150382565438
"448",5,200,0.1,0.0913011727499047,25.5890116679142
"449",5,200,0.1,0.0548738608988197,27.3234786723826
"450",5,200,0.1,6.11992969609398e-10,72.4124317644621
"451",5,200,0.1,3.1571847541095e-11,78.8425760856167
"452",5,200,0.1,0.0714316561327274,26.4383862735751
"453",5,200,0.1,3.23377970946543e-08,63.6296157219445
"454",5,200,0.1,0.592939965032687,17.3046183847655
"455",5,200,0.1,0.0783627531449179,26.1210098563047
"456",5,200,0.1,1.08832814103408e-12,86.0418803271704
"457",5,200,0.1,8.57247101205512e-13,86.5484676392638
"458",5,200,0.1,8.39062534602702e-08,61.4807940075227
"459",5,200,0.1,2.57722404054659e-10,74.2985504625055
"460",5,200,0.1,0.147853282521305,23.8303229782757
"461",5,200,0.1,0.000209882601749886,42.9324086136512
"462",5,200,0.1,4.20240556504647e-11,78.2263869943758
"463",5,200,0.1,5.81995531931268e-12,82.4700569277907
"464",5,200,0.1,0.00927787012922276,32.7831554673819
"465",5,200,0.1,1.83421363320382e-11,80.0104924928327
"466",5,200,0.1,7.7586278959694e-10,71.8934068547048
"467",5,200,0.1,0.0963100251646698,25.4004780270417
"468",5,200,0.1,5.03504390503471e-08,62.6338436129558
"469",5,200,0.1,0.568194574647626,17.5788515843952
"470",5,200,0.1,0.655476306601956,16.6125700142129
"471",5,200,0.1,1.17824440216292e-12,85.873288694793
"472",5,200,0.1,1.10268288983282e-10,76.1416121368843
"473",5,200,0.1,0.867082837012342,13.9844345676391
"474",5,200,0.1,2.33255350885439e-10,74.5155236984041
"475",5,200,0.1,3.3383674679416e-08,63.5581485981936
"476",5,200,0.1,0.271997160901252,21.3561384490297
"477",5,200,0.1,6.49851122940442e-11,77.2855276079739
"478",5,200,0.1,1.03962674307244e-12,86.1390863270773
"479",5,200,0.1,1.84878926086432e-11,79.9934906809137
"480",5,200,0.1,0.700488232056797,16.1071842943889
"481",5,200,0.1,5.98259386521093e-13,87.3111088685207
"482",5,200,0.1,0.966328389993523,11.8883206563183
"483",5,200,0.1,6.99520829233416e-11,77.1263659417356
"484",5,200,0.1,5.70414494663897e-12,82.513016930679
"485",5,200,0.1,0.0305280005218878,29.2087384718319
"486",5,200,0.1,7.69404065619263e-05,45.4398149493819
